pair_id,query_column_id,candidate_column_id,exact_rank,exact_similarity,jaccard,max_containment,query_unique_count,candidate_unique_count,query_cardinality_ratio,candidate_cardinality_ratio,query_numeric_ratio,candidate_numeric_ratio,query_date_like_ratio,candidate_date_like_ratio,query_avg_length,candidate_avg_length,rank_group
webtable_join_52844,csvData11781598.csv::Date,csvData50010.csv::Date,15447,-0.1702263355255127,0.0,0.0,12,12,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_53000,csvData27729927.csv::Date,csvData50010.csv::Date,15428,-0.2009898126125335,0.0,0.0,6,12,0.75,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_53077,csvData24733900.csv::Date,csvData7028714.csv::Date,15254,-0.1417281776666641,0.0,0.0,12,10,0.7058823529411765,1.0,0.0,0.0,1.0,0.0,6.823529411764706,5.6,rank_gt_1000
webtable_join_52214,csvData15169500.csv::Date,csvData50010.csv::Date,15203,-0.1722042262554168,0.0,0.0,6,12,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_16451,csvData2832935__3.csv::Date,csvData7028714.csv::Date,15155,-0.1338349729776382,0.0,0.0,24,10,0.96,1.0,0.0,0.0,0.0,0.0,11.76,5.6,rank_gt_1000
webtable_join_22704,csvData23141915__1.csv::Age,csvData13257636.csv::Age,15141,-0.1196793466806411,0.0,0.0,43,4,1.0,0.1481481481481481,0.0,1.0,0.0,0.0,6.0,2.0,rank_gt_1000
webtable_join_38656,csvData20186787.csv::Date,csvData7028714.csv::Date,15081,-0.1930660605430603,0.0,0.0,1,10,0.0277777777777777,1.0,0.0,0.0,1.0,0.0,10.0,5.6,rank_gt_1000
webtable_join_18746,csvData15025720__2.csv::Notes,csvData12097872.csv::Notes,14819,-0.0537786558270454,0.0,0.0,13,95,0.5652173913043478,0.7142857142857143,0.0,0.0,0.0,0.0,12.434782608695652,47.69172932330827,rank_gt_1000
webtable_join_38657,csvData20186787.csv::Date,csvData1337293.csv::Date,14794,-0.1628426313400268,0.0,0.0,1,37,0.0277777777777777,0.5967741935483871,0.0,0.0,1.0,0.0,10.0,5.548387096774194,rank_gt_1000
webtable_join_38655,csvData20186787.csv::Date,csvData27774537.csv::Date,14737,-0.159054547548294,0.0,0.0,1,56,0.0277777777777777,0.9491525423728814,0.0,0.0,1.0,0.0,10.0,5.745762711864407,rank_gt_1000
